;EPIC;TITLE;;REQUIREMENT;;USE CASE;COMMENTS/QUESTIONS;MOSCOW;Uniform;COMMENT COMMERCE;INPUT DPX (TO BE REMOVED);;
;;;Who;What;Why;;;;;;;;
1;Input & prospect intake;Single prospect intake;Business development / program manager;Provide a selected prospect for analysis;The agent can perform focused pain point research on the correct company;Input must at minimum include company name. Optional fields: website, country/region, division/business unit, industry and specific research lens.;MVP is single-prospect focused, not batch-first. The briefing explicitly scopes the analysis to one company/prospect.;M;;;;;
2;Input & prospect intake;Research lens configuration;Business development / program manager;Specify the content operations lens for the analysis;The agent focuses on FFD-relevant pains instead of generic company research;Default lens: marketing operations and Content Value Chain, especially (global-to-local) content creation, adaptation/localisation, workflow, governance, Marketing Operating Model, MarTech Health & Maturity, AI readiness, compliance, distribution, publishing and optimisation.;Should be configurable only within approved scope. Avoid drifting into generic business, financial or brand analysis.;M;;;;;
3;Input & prospect intake;Division or region focus;Business development / program manager;Prioritise a specific division, region or market when relevant;The output can be tailored to the most commercially relevant part of the prospect;Example: prioritise Consumer Beauty or EMEA if public sources indicate relevance, while noting whether findings generalise across the company.;If no division/region is specified, default to company-wide with global + regional lens.;S;;;;;
4;Input & prospect intake;Scope guardrails;AI Lab / admin;Prevent the agent from drifting outside the defined topic;The output remains consistent, commercially relevant and consultant-ready;Agent must focus on CVC, global-to-local operating model, governance, tooling/process, content workflows and pain points.;Do not produce generic SWOT, financial analysis or broad company profile unless directly relevant to content operations.;M;;;;;
5;Evidence & research;Structured search plan;AI Lab / admin;Execute a defined research plan before writing;The analysis is systematic rather than opportunistic;Agent researches marketing transformation, content workflow, governance, global rollout, embedded teams, data ownership, brand integrity and AI in marketing before drafting.;This mirrors the prompt requirement to search first, then write.;M;;;;;
6;Evidence & research;Credible source prioritisation;AI Lab / admin;Use only credible and relevant sources;Findings are defensible in commercial conversations;Preferred sources: company press releases, investor materials, annual reports, earnings calls, reputable industry press, case studies by known firms and role descriptions/job posts.;Avoid low-quality blogs, unsupported commentary and speculative sources.;M;;;;;
7;Evidence & research;Evidence-backed claims;AI Lab / admin;Support each major finding with source evidence;Users can validate the analysis and reuse it with confidence;Each relevant pain point and technology signal must include evidence quote or summary plus source link.;If evidence is weak, mark confidence as Low and label any inference explicitly.;M;;;;;
8;Evidence & research;Triangulation of major pain points;AI Lab / admin;Confirm major pain points with multiple sources where possible;The strongest claims are not based on a single weak signal;For major pain points, agent should try to confirm with at least two independent sources.;If triangulation is not possible, state this in confidence or unknowns.;S;;;;;
9;Evidence & research;Source link register;AI Lab / admin;Access all underlying sources used in the output;The deliverable can be reviewed quickly by FFD or client-facing teams;Create a source list with source title, date if available, publisher and URL.;Source links should also appear close to relevant evidence in the pain point inventory.;M;;;;;
